Flight_ID,Flight_Date,Airline_ID,Aircraft_ID,Origin_Airport_ID,Destination_Airport_ID,Scheduled_Departure,Actual_Departure,Delay_Minutes,Delay_Reason,Status,Flight_Duration_Min,Distance_KM,Seat_Capacity,Passengers,Base_Fare_USD,Revenue_USD,Load_Factor_%,Season
FL00029,2024-04-26,AL002,AC019,AP016,AP002,2024-04-26 08:45:00,2024-04-26 08:49:00,4.0,Security,Delayed,345,3049,296,206,523.0,107738,69.5945945945946,Spring
FL00030,2024-05-30,AL002,AC004,AP004,AP001,2024-05-30 11:15:00,2024-05-30 11:29:00,14.0,Technical,Delayed,141,6039,180,115,292.0,33580,63.888888888888886,Spring
FL00031,2023-01-18,AL005,AC035,AP012,AP028,2023-01-18 18:45:00,2023-01-18 19:55:00,70.0,Technical,Delayed,108,1854,189,136,227.0,30872,71.95767195767195,Winter
FL00032,2025-01-20,AL002,AC010,AP025,AP004,2025-01-20 13:30:00,2025-01-20 13:31:00,1.0,Late Aircraft,Delayed,189,6179,396,187,387.0,72369,47.22222222222222,Winter
FL00033,2023-07-17,AL004,AC006,AP023,AP030,2023-07-17 20:15:00,2023-07-17 20:16:00,1.0,Technical,Delayed,227,5102,300,192,582.0,111744,64.0,Summer
FL00034,2024-09-01,AL007,AC034,AP024,AP007,2024-09-01 14:30:00,2024-09-01 16:18:00,108.0,Late Aircraft,Delayed,87,6682,300,217,149.0,32333,72.33333333333334,Autumn
FL00035,2024-07-16,AL002,AC028,AP026,AP009,2024-07-16 07:30:00,2024-07-16 07:40:00,10.0,Technical,Delayed,651,5001,296,219,76.0,16644,73.98648648648648,Summer
FL00036,2024-10-20,AL010,AC030,AP006,AP018,2024-10-20 10:30:00,2024-10-20 12:14:00,104.0,Weather,Delayed,215,4091,325,272,296.0,80512,83.6923076923077,Autumn
FL00037,2024-07-11,AL009,AC018,AP021,AP011,2024-07-11 15:45:00,2024-07-11 15:55:00,10.0,Late Aircraft,Delayed,106,6012,189,187,295.0,55165,98.94179894179894,Summer
FL00038,2025-07-20,AL009,AC031,AP015,AP027,2025-07-20 13:45:00,2025-07-20 13:53:00,8.0,Air Traffic,Delayed,174,8106,300,197,587.0,115639,65.66666666666666,Summer
FL00039,2024-04-20,AL003,AC021,AP014,AP019,2024-04-20 19:45:00,2024-04-20 19:58:00,13.0,Security,Delayed,619,3290,325,319,617.0,196823,98.15384615384616,Spring
FL00040,2024-11-17,AL008,AC029,AP022,AP012,2024-11-17 18:45:00,2024-11-17 18:53:00,8.0,Late Aircraft,Delayed,574,4486,220,202,110.0,22220,91.81818181818184,Autumn
FL00041,2024-05-18,AL006,AC023,AP017,AP009,2024-05-18 18:15:00,2024-05-18 18:16:00,1.0,Late Aircraft,Delayed,344,6508,180,128,81.0,10368,71.11111111111111,Spring
FL00042,2023-03-15,AL008,AC004,AP022,AP018,2023-03-15 08:30:00,2023-03-15 08:38:00,8.0,Late Aircraft,Delayed,247,5167,180,87,608.0,52896,48.333333333333336,Spring
FL00043,2025-09-04,AL008,AC032,AP019,AP022,2025-09-04 10:00:00,2025-09-04 10:03:00,3.0,Air Traffic,Delayed,332,7416,396,330,197.0,65010,83.33333333333334,Autumn
FL00044,2024-07-28,AL002,AC026,AP019,AP020,2024-07-28 05:30:00,2024-07-28 05:43:00,13.0,Weather,Delayed,373,6516,189,133,412.0,54796,70.37037037037037,Summer
FL00045,2023-04-03,AL003,AC002,AP011,AP030,2023-04-03 16:00:00,2023-04-03 16:02:00,2.0,Late Aircraft,Delayed,366,7818,300,258,515.0,132870,86.0,Spring
FL00046,2024-04-04,AL008,AC002,AP001,AP017,2024-04-04 16:30:00,2024-04-04 16:34:00,4.0,Security,Delayed,305,2224,300,223,219.0,48837,74.33333333333333,Spring
FL00047,2025-06-18,AL002,AC032,AP001,AP030,2025-06-18 12:30:00,2025-06-18 12:39:00,9.0,Technical,Delayed,521,2670,396,311,217.0,67487,78.53535353535354,Summer
FL00048,2024-07-11,AL003,AC006,AP030,AP009,2024-07-11 08:00:00,2024-07-11 08:00:00,0.0,No Delay,On Time,580,1819,300,223,556.0,123988,74.33333333333333,Summer
FL00049,2024-09-26,AL003,AC023,AP007,AP008,2024-09-26 16:45:00,2024-09-26 16:54:00,9.0,Air Traffic,Delayed,107,2251,180,135,513.0,69255,75.0,Autumn
FL00050,2024-03-18,AL007,AC013,AP016,AP012,2024-03-18 15:00:00,2024-03-18 15:13:00,13.0,Weather,Delayed,467,7791,325,232,447.0,103704,71.38461538461539,Spring
FL00051,2024-02-12,AL005,AC003,AP019,AP023,2024-02-12 10:45:00,2024-02-12 10:54:00,9.0,Air Traffic,Delayed,162,3643,396,334,118.0,39412,84.34343434343434,Winter
FL00052,2023-10-09,AL008,AC020,AP021,AP029,2023-10-09 18:00:00,2023-10-09 18:07:00,7.0,Late Aircraft,Delayed,292,2383,396,289,384.0,110976,72.97979797979798,Autumn
FL00053,2025-03-06,AL004,AC037,AP016,AP029,2025-03-06 20:15:00,2025-03-06 20:20:00,5.0,Technical,Delayed,344,6780,220,173,98.0,16954,78.63636363636364,Spring
FL00054,2024-03-17,AL003,AC008,AP018,AP019,2024-03-17 13:15:00,2024-03-17 13:33:00,18.0,Security,Delayed,661,3043,300,226,104.0,23504,75.33333333333333,Spring
FL00055,2024-09-14,AL001,AC014,AP019,AP006,2024-09-14 11:00:00,2024-09-14 11:10:00,10.0,Technical,Delayed,567,6198,325,220,279.0,61380,67.6923076923077,Autumn
FL00056,2023-09-17,AL010,AC036,AP005,AP012,2023-09-17 21:15:00,2023-09-17 21:30:00,15.0,Technical,Cancelled,638,2702,180,0,307.0,0,0.0,Autumn
FL00057,2024-12-19,AL007,AC017,AP019,AP023,2024-12-19 21:45:00,2024-12-19 21:50:00,5.0,Late Aircraft,Delayed,605,5943,296,149,483.0,71967,50.33783783783784,Winter
FL00058,2025-08-13,AL004,AC005,AP004,AP009,2025-08-13 18:45:00,2025-08-13 18:51:00,6.0,Technical,Delayed,707,3536,325,216,474.0,102384,66.46153846153847,Summer
FL00059,2024-03-08,AL005,AC021,AP012,AP004,2024-03-08 05:00:00,2024-03-08 05:13:00,13.0,Security,Delayed,595,5056,325,282,444.0,125208,86.76923076923076,Spring
FL00060,2025-09-10,AL003,AC010,AP013,AP006,2025-09-10 12:30:00,2025-09-10 12:37:00,7.0,Air Traffic,Delayed,385,2125,396,329,463.0,152327,83.08080808080808,Autumn
FL00061,2025-05-05,AL008,AC040,AP003,AP023,2025-05-05 10:30:00,2025-05-05 12:19:00,109.0,Weather,Delayed,436,5387,220,171,489.0,83619,77.72727272727272,Spring
FL00062,2024-09-04,AL001,AC037,AP029,AP012,2024-09-04 10:15:00,2024-09-04 10:26:00,11.0,Crew,Delayed,489,6206,220,181,527.0,95387,82.27272727272728,Autumn
FL00063,2025-06-19,AL001,AC037,AP009,AP018,2025-06-19 11:15:00,2025-06-19 11:26:00,11.0,Unknown,Delayed,520,1584,220,129,219.0,28251,58.63636363636363,Summer
FL00064,2023-11-22,AL009,AC016,AP015,AP016,2023-11-22 15:00:00,2023-11-22 15:11:00,11.0,Air Traffic,Delayed,234,6593,189,133,210.0,27930,70.37037037037037,Autumn
FL00065,2023-11-09,AL008,AC016,AP005,AP029,2023-11-09 22:30:00,2023-11-10 01:19:00,169.0,Air Traffic,Severely Delayed,353,3596,189,127,333.0,42291,67.1957671957672,Autumn
FL00066,2024-07-26,AL006,AC013,AP014,AP016,2024-07-26 08:15:00,2024-07-26 08:23:00,8.0,Air Traffic,Delayed,427,2747,325,279,221.0,61659,85.84615384615385,Summer
FL00067,2024-10-11,AL007,AC016,AP011,AP009,2024-10-11 06:00:00,2024-10-11 06:00:00,0.0,No Delay,On Time,82,5281,189,154,602.0,92708,81.48148148148148,Autumn
FL00068,2025-09-24,AL002,AC036,AP004,AP021,2025-09-24 14:30:00,2025-09-24 14:32:00,2.0,Weather,Cancelled,668,8443,180,0,86.0,0,0.0,Autumn
FL00069,2024-11-04,AL007,AC023,AP018,AP024,2024-11-04 22:15:00,2024-11-04 22:15:00,0.0,No Delay,On Time,516,4292,180,144,578.0,83232,80.0,Autumn
FL00070,2025-12-29,AL008,AC003,AP024,AP021,2025-12-29 08:45:00,2025-12-29 08:56:00,11.0,Crew,Delayed,673,5401,396,278,121.0,33638,70.2020202020202,Winter
FL00071,2024-09-28,AL007,AC008,AP022,AP008,2024-09-28 07:00:00,2024-09-28 07:05:00,5.0,Air Traffic,Delayed,105,6082,300,186,157.0,29202,62.0,Autumn
FL00072,2023-11-19,AL010,AC034,AP006,AP011,2023-11-19 13:30:00,2023-11-19 13:38:00,8.0,Air Traffic,Delayed,439,3086,300,200,269.0,53800,66.66666666666666,Autumn
FL00073,2025-10-31,AL001,AC040,AP005,AP030,2025-10-31 16:15:00,2025-10-31 16:29:00,14.0,Late Aircraft,Delayed,134,1622,220,180,190.0,34200,81.81818181818183,Autumn
FL00074,2025-03-02,AL006,AC004,AP023,AP006,2025-03-02 05:00:00,2025-03-02 05:15:00,15.0,Late Aircraft,Delayed,177,4871,180,134,649.0,86966,74.44444444444444,Spring
FL00075,2025-01-01,AL007,AC030,AP005,AP007,2025-01-01 17:30:00,2025-01-01 19:37:00,127.0,Late Aircraft,Severely Delayed,116,3867,325,231,209.0,48279,71.07692307692308,Winter
FL00076,2023-10-18,AL008,AC017,AP008,AP015,2023-10-18 19:30:00,2023-10-18 21:10:00,100.0,Security,Delayed,106,945,296,254,183.0,46482,85.8108108108108,Autumn
FL00077,2025-05-05,AL001,AC025,AP012,AP002,2025-05-05 07:15:00,2025-05-05 07:16:00,1.0,Weather,Delayed,361,3140,296,168,479.0,80472,56.75675675675676,Spring
FL00078,2024-10-27,AL004,AC027,AP014,AP001,2024-10-27 06:45:00,2024-10-27 09:42:00,177.0,Weather,Severely Delayed,547,6272,325,266,531.0,141246,81.84615384615384,Autumn
FL00079,2024-02-06,AL002,AC009,AP015,AP008,2024-02-06 20:30:00,2024-02-06 22:18:00,108.0,Air Traffic,Delayed,692,2771,296,260,448.0,116480,87.83783783783784,Winter
FL00080,2023-07-14,AL007,AC031,AP021,AP013,2023-07-14 14:30:00,2023-07-14 14:30:00,0.0,No Delay,On Time,710,7364,300,220,338.0,74360,73.33333333333333,Summer
FL00081,2025-10-31,AL001,AC027,AP020,AP004,2025-10-31 14:15:00,2025-10-31 14:20:00,5.0,Security,Delayed,223,7630,325,276,522.0,144072,84.92307692307692,Autumn
FL00082,2025-01-27,AL009,AC015,AP024,AP003,2025-01-27 08:45:00,2025-01-27 08:58:00,13.0,Weather,Delayed,361,2336,396,195,361.0,70395,49.24242424242424,Winter
FL00083,2025-09-19,AL009,AC024,AP011,AP018,2025-09-19 22:30:00,2025-09-19 22:36:00,6.0,Air Traffic,Delayed,520,1237,296,191,575.0,109825,64.52702702702703,Autumn
FL00084,2023-12-22,AL008,AC009,AP022,AP008,2023-12-22 11:45:00,2023-12-22 11:53:00,8.0,Security,Delayed,455,7058,296,283,182.0,51506,95.6081081081081,Winter
FL00085,2024-06-03,AL010,AC030,AP015,AP005,2024-06-03 16:45:00,2024-06-03 16:57:00,12.0,Late Aircraft,Delayed,441,2498,325,216,327.0,70632,66.46153846153847,Summer
FL00086,2024-03-30,AL001,AC026,AP012,AP026,2024-03-30 07:00:00,2024-03-30 07:14:00,14.0,Weather,Delayed,230,3569,189,146,138.0,20148,77.24867724867724,Spring
FL00087,2025-09-05,AL004,AC013,AP025,AP020,2025-09-05 09:30:00,2025-09-05 09:45:00,15.0,Security,Delayed,266,4411,325,261,131.0,34191,80.3076923076923,Autumn
FL00088,2023-08-09,AL008,AC029,AP009,AP007,2023-08-09 12:15:00,2023-08-09 12:19:00,4.0,Crew,Delayed,413,7887,220,132,591.0,78012,60.0,Summer
FL00089,2024-02-27,AL006,AC018,AP001,AP030,2024-02-27 18:45:00,2024-02-27 21:42:00,177.0,Air Traffic,Severely Delayed,330,2963,189,123,96.0,11808,65.07936507936508,Winter
FL00090,2025-06-20,AL001,AC034,AP030,AP017,2025-06-20 09:15:00,2025-06-20 09:16:00,1.0,Weather,Delayed,615,3593,300,222,558.0,123876,74.0,Summer
FL00091,2023-05-18,AL007,AC005,AP019,AP012,2023-05-18 20:30:00,2023-05-18 20:37:00,7.0,Technical,Delayed,316,2615,325,268,160.0,42880,82.46153846153847,Spring
FL00092,2023-06-18,AL004,AC009,AP027,AP015,2023-06-18 18:30:00,2023-06-18 18:38:00,8.0,Air Traffic,Delayed,461,4460,296,267,73.0,19491,90.2027027027027,Summer
FL00093,2023-08-04,AL008,AC027,AP030,AP001,2023-08-04 19:45:00,2023-08-04 19:45:00,0.0,No Delay,On Time,579,6730,325,204,230.0,46920,62.76923076923077,Summer
FL00094,2025-01-14,AL004,AC013,AP013,AP020,2025-01-14 06:00:00,2025-01-14 07:19:00,79.0,Security,Delayed,689,6870,325,234,499.0,116766,72.0,Winter
FL00095,2024-08-24,AL001,AC009,AP020,AP024,2024-08-24 07:00:00,2024-08-24 07:00:00,0.0,No Delay,On Time,175,7798,296,192,230.0,44160,64.86486486486487,Summer
FL00096,2025-03-29,AL008,AC012,AP012,AP010,2025-03-29 09:45:00,2025-03-29 09:58:00,13.0,Security,Delayed,245,3762,189,121,262.0,31702,64.02116402116403,Spring
FL00097,2025-12-04,AL010,AC010,AP007,AP025,2025-12-04 05:15:00,2025-12-04 05:22:00,7.0,Technical,Delayed,352,8271,396,255,450.0,114750,64.39393939393939,Winter
FL00098,2024-08-27,AL006,AC027,AP001,AP029,2024-08-27 18:30:00,2024-08-27 18:31:00,1.0,Security,Delayed,132,6664,325,321,578.0,185538,98.76923076923076,Summer
FL00099,2023-12-06,AL008,AC019,AP016,AP027,2023-12-06 07:15:00,2023-12-06 08:25:00,70.0,Weather,Delayed,392,524,296,244,399.0,97356,82.43243243243244,Winter
FL00100,2023-12-04,AL010,AC010,AP006,AP018,2023-12-04 10:15:00,2023-12-04 10:24:00,9.0,Air Traffic,Delayed,455,1899,396,232,478.0,110896,58.58585858585859,Winter
FL00101,2025-09-26,AL005,AC019,AP012,AP028,2025-09-26 08:00:00,2025-09-26 08:01:00,1.0,Security,Delayed,139,5283,296,211,426.0,89886,71.28378378378379,Autumn
FL00102,2024-01-19,AL005,AC040,AP028,AP023,2024-01-19 16:15:00,2024-01-19 16:16:00,1.0,Technical,Delayed,301,3806,220,159,601.0,95559,72.27272727272728,Winter
FL00103,2024-07-27,AL003,AC016,AP026,AP027,2024-07-27 17:30:00,2024-07-27 17:32:00,2.0,Crew,Delayed,276,3553,189,121,231.0,27951,64.02116402116403,Summer
FL00104,2025-10-10,AL008,AC001,AP001,AP008,2025-10-10 10:30:00,2025-10-10 10:34:00,4.0,Weather,Delayed,520,5366,325,254,564.0,143256,78.15384615384615,Autumn
FL00105,2023-09-05,AL004,AC004,AP030,AP003,2023-09-05 12:15:00,2023-09-05 12:41:00,26.0,Weather,Delayed,403,7749,180,113,331.0,37403,62.77777777777778,Autumn
FL00106,2025-11-04,AL004,AC024,AP023,AP011,2025-11-04 21:45:00,2025-11-04 23:12:00,87.0,Crew,Delayed,384,3789,296,204,188.0,38352,68.91891891891892,Autumn
FL00107,2025-04-10,AL007,AC029,AP028,AP014,2025-04-10 07:45:00,2025-04-10 07:58:00,13.0,Weather,Delayed,524,1511,220,169,227.0,38363,76.81818181818181,Spring
FL00108,2025-07-13,AL004,AC023,AP005,AP001,2025-07-13 17:30:00,2025-07-13 17:39:00,9.0,Weather,Delayed,231,6779,180,140,148.0,20720,77.77777777777779,Summer
FL00109,2024-09-21,AL009,AC028,AP011,AP030,2024-09-21 07:00:00,2024-09-21 09:07:00,127.0,Security,Severely Delayed,646,7387,296,217,321.0,69657,73.3108108108108,Autumn
FL00110,2024-08-15,AL004,AC036,AP020,AP018,2024-08-15 07:45:00,2024-08-15 09:59:00,134.0,Air Traffic,Severely Delayed,526,774,180,127,485.0,61595,70.55555555555556,Summer
FL00111,2025-01-22,AL010,AC009,AP011,AP007,2025-01-22 20:45:00,2025-01-22 21:00:00,15.0,Weather,Delayed,184,2904,296,205,525.0,107625,69.25675675675676,Winter
FL00112,2023-08-27,AL007,AC027,AP008,AP024,2023-08-27 15:00:00,2023-08-27 15:09:00,9.0,Technical,Delayed,467,7450,325,237,151.0,35787,72.92307692307692,Summer
FL00113,2023-05-24,AL007,AC009,AP009,AP028,2023-05-24 22:30:00,2023-05-24 22:40:00,10.0,Air Traffic,Delayed,574,2008,296,212,150.0,31800,71.62162162162163,Spring
FL00114,2024-04-09,AL001,AC001,AP013,AP012,2024-04-09 13:15:00,2024-04-09 13:15:00,0.0,No Delay,On Time,173,3469,325,239,397.0,94883,73.53846153846155,Spring
FL00115,2024-10-01,AL007,AC022,AP020,AP030,2024-10-01 05:45:00,2024-10-01 05:59:00,14.0,Air Traffic,Delayed,250,2640,300,198,415.0,82170,66.0,Autumn
FL00116,2024-05-09,AL009,AC036,AP026,AP008,2024-05-09 10:00:00,2024-05-09 10:10:00,10.0,Weather,Delayed,395,4577,180,154,234.0,36036,85.55555555555556,Spring
FL00117,2025-10-03,AL007,AC014,AP018,AP007,2025-10-03 15:15:00,2025-10-03 15:19:00,4.0,Late Aircraft,Cancelled,277,1733,325,0,74.0,0,0.0,Autumn
FL00118,2025-01-21,AL010,AC033,AP001,AP003,2025-01-21 07:30:00,2025-01-21 07:41:00,11.0,Security,Delayed,88,3634,220,135,416.0,56160,61.36363636363637,Winter
FL00119,2025-06-04,AL001,AC011,AP026,AP027,2025-06-04 14:15:00,2025-06-04 14:15:00,0.0,No Delay,On Time,333,4007,300,157,476.0,74732,52.33333333333333,Summer
FL00120,2024-05-31,AL002,AC009,AP027,AP001,2024-05-31 12:15:00,2024-05-31 12:28:00,13.0,Crew,Delayed,648,5547,296,215,341.0,73315,72.63513513513513,Spring
FL00121,2023-05-30,AL005,AC007,AP010,AP003,2023-05-30 16:15:00,2023-05-30 16:25:00,10.0,Unknown,Delayed,105,4508,300,262,586.0,153532,87.33333333333333,Spring
FL00122,2024-06-28,AL008,AC010,AP029,AP019,2024-06-28 08:15:00,2024-06-28 08:19:00,4.0,Technical,Delayed,424,1814,396,348,298.0,103704,87.87878787878788,Summer
FL00123,2023-04-17,AL010,AC031,AP003,AP024,2023-04-17 14:45:00,2023-04-17 14:48:00,3.0,Air Traffic,Delayed,423,5895,300,202,563.0,113726,67.33333333333333,Spring
FL00124,2023-12-26,AL009,AC002,AP019,AP029,2023-12-26 05:30:00,2023-12-26 05:40:00,10.0,Weather,Delayed,123,7638,300,260,278.0,72280,86.66666666666667,Winter
FL00125,2025-02-08,AL006,AC027,AP005,AP002,2025-02-08 08:15:00,2025-02-08 08:28:00,13.0,Weather,Delayed,680,1766,325,241,577.0,139057,74.15384615384616,Winter
FL00126,2024-05-03,AL009,AC028,AP005,AP021,2024-05-03 05:00:00,2024-05-03 07:09:00,129.0,Crew,Severely Delayed,50,4183,296,235,187.0,43945,79.3918918918919,Spring
FL00127,2025-07-02,AL007,AC039,AP005,AP017,2025-07-02 17:45:00,2025-07-02 17:59:00,14.0,Late Aircraft,Delayed,399,6641,300,280,309.0,86520,93.33333333333331,Summer
FL00128,2025-03-01,AL005,AC019,AP022,AP012,2025-03-01 16:30:00,2025-03-01 16:38:00,8.0,Security,Delayed,124,3237,296,180,315.0,56700,60.810810810810814,Spring
FL00129,2023-02-23,AL003,AC026,AP005,AP007,2023-02-23 20:45:00,2023-02-23 20:56:00,11.0,Air Traffic,Delayed,666,3728,189,165,523.0,86295,87.3015873015873,Winter
FL00130,2023-11-27,AL004,AC021,AP005,AP030,2023-11-27 17:45:00,2023-11-27 17:56:00,11.0,Crew,Delayed,537,4835,325,256,400.0,102400,78.76923076923077,Autumn
FL00131,2024-05-10,AL005,AC027,AP016,AP027,2024-05-10 17:00:00,2024-05-10 17:07:00,7.0,Air Traffic,Delayed,719,7843,325,247,143.0,35321,76.0,Spring
FL00132,2025-06-15,AL008,AC034,AP022,AP028,2025-06-15 22:00:00,2025-06-15 22:10:00,10.0,Technical,Delayed,353,3662,300,217,203.0,44051,72.33333333333334,Summer
FL00133,2025-05-31,AL007,AC026,AP022,AP024,2025-05-31 06:15:00,2025-05-31 07:57:00,102.0,Crew,Delayed,482,7797,189,107,491.0,52537,56.61375661375661,Spring
FL00134,2023-12-17,AL010,AC016,AP029,AP017,2023-12-17 19:15:00,2023-12-17 19:23:00,8.0,Security,Delayed,420,6254,189,184,638.0,117392,97.35449735449735,Winter
FL00135,2024-08-06,AL005,AC028,AP020,AP030,2024-08-06 13:30:00,2024-08-06 13:43:00,13.0,Late Aircraft,Delayed,507,837,296,293,639.0,187227,98.98648648648648,Summer
FL00136,2025-11-29,AL008,AC002,AP012,AP015,2025-11-29 15:15:00,2025-11-29 15:18:00,3.0,Crew,Delayed,391,7296,300,260,605.0,157300,86.66666666666667,Autumn
FL00137,2025-06-05,AL002,AC031,AP027,AP030,2025-06-05 11:30:00,2025-06-05 11:33:00,3.0,Crew,Delayed,325,2840,300,216,303.0,65448,72.0,Summer
FL00138,2025-11-19,AL008,AC026,AP025,AP029,2025-11-19 19:30:00,2025-11-19 20:50:00,80.0,Crew,Delayed,691,8254,189,148,97.0,14356,78.3068783068783,Autumn
FL00139,2025-11-09,AL004,AC030,AP002,AP028,2025-11-09 06:15:00,2025-11-09 06:24:00,9.0,Crew,Delayed,691,6734,325,283,595.0,168385,87.07692307692308,Autumn
FL00140,2023-10-21,AL004,AC012,AP019,AP011,2023-10-21 22:30:00,2023-10-21 22:41:00,11.0,Late Aircraft,Delayed,620,2567,189,151,450.0,67950,79.8941798941799,Autumn
FL00141,2023-01-02,AL006,AC033,AP028,AP004,2023-01-02 15:15:00,2023-01-02 17:44:00,149.0,Crew,Severely Delayed,359,3451,220,200,104.0,20800,90.9090909090909,Winter
FL00142,2023-05-14,AL010,AC039,AP013,AP007,2023-05-14 20:45:00,2023-05-14 20:55:00,10.0,Weather,Delayed,291,3603,300,241,184.0,44344,80.33333333333333,Spring
